Layer,DigestHex,ARK,PageIndex0,Offset,Snippet,IIIF_Manifest,OCR_URL
L6,71bde50edf918cf63de16bd01edebf785cab9540803f984f0763a836bc2751e7,ark:/12148/bpt6k65374s,24,266,"rique basé sur les clefs du tarot... / F. Jollivet-Castelot,... ; préface de Papus | Gallica Rappel de votre demande: Format de téléchargement: : Texte Vues 1 à 443 sur 443 Nombre de pages: 443 Notice complète: Titre : Comment on devient alchimiste : traité d'hermétisme et d'art spagyrique basé sur les clefs du tarot... / F. Jollivet-Castelot,... ; préface de Papus Auteur : Jollivet-Castelot, Fran",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k65374s/manifest.json,https://gallica.bnf.fr/ark:/12148/bpt6k65374s/texteBrut
L7,19ae89e937aaaf44e692fab1f17b0c03f223b5cf51318f72eb4ca037713b7112,ark:/12148/bpt6k33731631,262,0,,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k33731631/manifest.json,https://gallica.bnf.fr/ark:/12148/bpt6k33731631/texteBrut
